Timestamp,Bren Hall HVAC Elec Meter hvac elec power
2023-01-11T20:00:00-08:00 Los_Angeles,23.963666915893555kW
2023-01-11T21:00:00-08:00 Los_Angeles,24.209332942962646kW
2023-01-11T22:00:00-08:00 Los_Angeles,16.068833351135254kW
2023-01-11T23:00:00-08:00 Los_Angeles,0kW
2023-01-12T00:00:00-08:00 Los_Angeles,0kW
2023-01-12T01:00:00-08:00 Los_Angeles,0kW
2023-01-12T02:00:00-08:00 Los_Angeles,0kW
2023-01-12T03:00:00-08:00 Los_Angeles,0kW
2023-01-12T04:00:00-08:00 Los_Angeles,0kW
2023-01-12T05:00:00-08:00 Los_Angeles,0kW
2023-01-12T06:00:00-08:00 Los_Angeles,0kW
2023-01-12T07:00:00-08:00 Los_Angeles,16.359166622161865kW
2023-01-12T08:00:00-08:00 Los_Angeles,24.6225004196167kW
2023-01-12T09:00:00-08:00 Los_Angeles,24.164666175842285kW
2023-01-12T10:00:00-08:00 Los_Angeles,24.0083327293396kW
2023-01-12T11:00:00-08:00 Los_Angeles,24.08649969100952kW
2023-01-12T12:00:00-08:00 Los_Angeles,24.521999835968018kW
2023-01-12T13:00:00-08:00 Los_Angeles,24.097666263580322kW
2023-01-12T14:00:00-08:00 Los_Angeles,24.142333030700684kW
2023-01-12T15:00:00-08:00 Los_Angeles,24.52199935913086kW
2023-01-12T16:00:00-08:00 Los_Angeles,24.644832611083984kW
2023-01-12T17:00:00-08:00 Los_Angeles,24.354499340057373kW
2023-01-12T18:00:00-08:00 Los_Angeles,24.142333030700684kW
2023-01-12T19:00:00-08:00 Los_Angeles,24.175832748413086kW
2023-01-12T20:00:00-08:00 Los_Angeles,23.651000022888184kW
2023-01-12T21:00:00-08:00 Los_Angeles,23.77383327484131kW
2023-01-12T22:00:00-08:00 Los_Angeles,23.818500518798828kW
2023-01-12T23:00:00-08:00 Los_Angeles,23.80733299255371kW
2023-01-13T00:00:00-08:00 Los_Angeles,23.762666702270508kW
2023-01-13T01:00:00-08:00 Los_Angeles,23.628666877746582kW
2023-01-13T02:00:00-08:00 Los_Angeles,23.628666400909424kW
2023-01-13T03:00:00-08:00 Los_Angeles,23.5393328666687kW
2023-01-13T04:00:00-08:00 Los_Angeles,23.494666576385498kW
2023-01-13T05:00:00-08:00 Los_Angeles,23.416499614715576kW
2023-01-13T06:00:00-08:00 Los_Angeles,23.394165992736816kW
2023-01-13T07:00:00-08:00 Los_Angeles,22.523166179656982kW
2023-01-13T08:00:00-08:00 Los_Angeles,23.394165992736816kW
2023-01-13T09:00:00-08:00 Los_Angeles,23.56166648864746kW
2023-01-13T10:00:00-08:00 Los_Angeles,24.09766721725464kW
2023-01-13T11:00:00-08:00 Los_Angeles,24.27633285522461kW
2023-01-13T12:00:00-08:00 Los_Angeles,24.32100009918213kW
2023-01-13T13:00:00-08:00 Los_Angeles,23.907833576202393kW
2023-01-13T14:00:00-08:00 Los_Angeles,23.918999671936035kW
2023-01-13T15:00:00-08:00 Los_Angeles,24.443832874298096kW
2023-01-13T16:00:00-08:00 Los_Angeles,24.622499465942383kW
2023-01-13T17:00:00-08:00 Los_Angeles,24.39916706085205kW
2023-01-13T18:00:00-08:00 Los_Angeles,24.29866600036621kW
2023-01-13T19:00:00-08:00 Los_Angeles,23.405333042144775kW
2023-01-13T20:00:00-08:00 Los_Angeles,23.48349952697754kW
2023-01-13T21:00:00-08:00 Los_Angeles,23.56166696548462kW
2023-01-13T22:00:00-08:00 Los_Angeles,23.71799945831299kW
2023-01-13T23:00:00-08:00 Los_Angeles,23.740333080291748kW
2023-01-14T00:00:00-08:00 Los_Angeles,23.82966661453247kW
2023-01-14T01:00:00-08:00 Los_Angeles,23.76266622543335kW
2023-01-14T02:00:00-08:00 Los_Angeles,23.851999759674072kW
2023-01-14T03:00:00-08:00 Los_Angeles,23.81849956512451kW
2023-01-14T04:00:00-08:00 Los_Angeles,23.81849956512451kW
2023-01-14T05:00:00-08:00 Los_Angeles,23.930166244506836kW
2023-01-14T06:00:00-08:00 Los_Angeles,23.840832710266113kW
2023-01-14T07:00:00-08:00 Los_Angeles,23.583999633789062kW
2023-01-14T08:00:00-08:00 Los_Angeles,23.52816677093506kW
2023-01-14T09:00:00-08:00 Los_Angeles,23.517000198364258kW
2023-01-14T10:00:00-08:00 Los_Angeles,23.918999671936035kW
2023-01-14T11:00:00-08:00 Los_Angeles,23.874332904815674kW
2023-01-14T12:00:00-08:00 Los_Angeles,23.952499866485596kW
2023-01-14T13:00:00-08:00 Los_Angeles,23.851999759674072kW
2023-01-14T14:00:00-08:00 Los_Angeles,23.874333381652832kW
2023-01-14T15:00:00-08:00 Los_Angeles,23.79616641998291kW
2023-01-14T16:00:00-08:00 Los_Angeles,24.04183292388916kW
2023-01-14T17:00:00-08:00 Los_Angeles,24.07533311843872kW
2023-01-14T18:00:00-08:00 Los_Angeles,24.119999885559082kW
2023-01-14T19:00:00-08:00 Los_Angeles,22.679499626159668kW
2023-01-14T20:00:00-08:00 Los_Angeles,23.5393328666687kW
2023-01-14T21:00:00-08:00 Los_Angeles,23.662166118621826kW
2023-01-14T22:00:00-08:00 Los_Angeles,23.9971661567688kW
2023-01-14T23:00:00-08:00 Los_Angeles,24.03066635131836kW
2023-01-15T00:00:00-08:00 Los_Angeles,24.07533311843872kW
2023-01-15T01:00:00-08:00 Los_Angeles,23.930166244506836kW
2023-01-15T02:00:00-08:00 Los_Angeles,24.05299997329712kW
2023-01-15T03:00:00-08:00 Los_Angeles,24.142333030700684kW
2023-01-15T04:00:00-08:00 Los_Angeles,24.25399923324585kW
2023-01-15T05:00:00-08:00 Los_Angeles,24.153499603271484kW
2023-01-15T06:00:00-08:00 Los_Angeles,24.108832836151123kW
2023-01-15T07:00:00-08:00 Los_Angeles,23.360666751861572kW
2023-01-15T08:00:00-08:00 Los_Angeles,23.338333129882812kW
2023-01-15T09:00:00-08:00 Los_Angeles,23.684499740600586kW
2023-01-15T10:00:00-08:00 Los_Angeles,23.673332691192627kW
2023-01-15T11:00:00-08:00 Los_Angeles,23.84083318710327kW
2023-01-15T12:00:00-08:00 Los_Angeles,23.80733299255371kW
2023-01-15T13:00:00-08:00 Los_Angeles,23.78499984741211kW
2023-01-15T14:00:00-08:00 Los_Angeles,23.75149965286255kW
2023-01-15T15:00:00-08:00 Los_Angeles,23.86316680908203kW
2023-01-15T16:00:00-08:00 Los_Angeles,23.874333381652832kW
2023-01-15T17:00:00-08:00 Los_Angeles,23.82966661453247kW
2023-01-15T18:00:00-08:00 Los_Angeles,23.75149965286255kW
2023-01-15T19:00:00-08:00 Los_Angeles,22.567833423614502kW
2023-01-15T20:00:00-08:00 Los_Angeles,23.394166469573975kW
2023-01-15T21:00:00-08:00 Los_Angeles,23.517000198364258kW
2023-01-15T22:00:00-08:00 Los_Angeles,23.639833450317383kW
2023-01-15T23:00:00-08:00 Los_Angeles,23.918999671936035kW
2023-01-16T00:00:00-08:00 Los_Angeles,23.81849956512451kW
2023-01-16T01:00:00-08:00 Los_Angeles,23.82966661453247kW
2023-01-16T02:00:00-08:00 Los_Angeles,23.628666400909424kW
2023-01-16T03:00:00-08:00 Los_Angeles,23.762666702270508kW
2023-01-16T04:00:00-08:00 Los_Angeles,23.717999935150146kW
2023-01-16T05:00:00-08:00 Los_Angeles,23.762666702270508kW
2023-01-16T06:00:00-08:00 Los_Angeles,23.896666049957275kW
2023-01-16T07:00:00-08:00 Los_Angeles,23.5281662940979kW
2023-01-16T08:00:00-08:00 Los_Angeles,23.5281662940979kW
2023-01-16T09:00:00-08:00 Los_Angeles,23.78499984741211kW
2023-01-16T10:00:00-08:00 Los_Angeles,23.907832622528076kW
2023-01-16T11:00:00-08:00 Los_Angeles,24.0194993019104kW
2023-01-16T12:00:00-08:00 Los_Angeles,24.041832447052002kW
2023-01-16T13:00:00-08:00 Los_Angeles,24.142332553863525kW
2023-01-16T14:00:00-08:00 Los_Angeles,23.918999671936035kW
2023-01-16T15:00:00-08:00 Los_Angeles,23.84083318710327kW
2023-01-16T16:00:00-08:00 Los_Angeles,23.941332817077637kW
2023-01-16T17:00:00-08:00 Los_Angeles,23.84083366394043kW
2023-01-16T18:00:00-08:00 Los_Angeles,23.684500217437744kW
2023-01-16T19:00:00-08:00 Los_Angeles,23.327166080474854kW
2023-01-16T20:00:00-08:00 Los_Angeles,23.461166381835938kW
2023-01-16T21:00:00-08:00 Los_Angeles,23.751500129699707kW
2023-01-16T22:00:00-08:00 Los_Angeles,23.673332691192627kW
2023-01-16T23:00:00-08:00 Los_Angeles,23.695666790008545kW
2023-01-17T00:00:00-08:00 Los_Angeles,23.650999546051025kW
2023-01-17T01:00:00-08:00 Los_Angeles,23.561666011810303kW
2023-01-17T02:00:00-08:00 Los_Angeles,23.5281662940979kW
2023-01-17T03:00:00-08:00 Los_Angeles,23.651000022888184kW
