Timestamp,Bren Hall HVAC Elec Meter hvac elec power
2022-01-07T06:00:00-08:00 Los_Angeles,0kW
2022-01-07T07:00:00-08:00 Los_Angeles,20.300999999046326kW
2022-01-07T08:00:00-08:00 Los_Angeles,22.936333179473877kW
2022-01-07T09:00:00-08:00 Los_Angeles,22.701833248138428kW
2022-01-07T10:00:00-08:00 Los_Angeles,22.567833423614502kW
2022-01-07T11:00:00-08:00 Los_Angeles,23.170833587646484kW
2022-01-07T12:00:00-08:00 Los_Angeles,23.31599998474121kW
2022-01-07T13:00:00-08:00 Los_Angeles,23.32716655731201kW
2022-01-07T14:00:00-08:00 Los_Angeles,23.371833324432373kW
2022-01-07T15:00:00-08:00 Los_Angeles,23.595166206359863kW
2022-01-07T16:00:00-08:00 Los_Angeles,23.338333129882812kW
2022-01-07T17:00:00-08:00 Los_Angeles,23.32716703414917kW
2022-01-07T18:00:00-08:00 Los_Angeles,23.28249979019165kW
2022-01-07T19:00:00-08:00 Los_Angeles,23.438832759857178kW
2022-01-07T20:00:00-08:00 Los_Angeles,23.483500003814697kW
2022-01-07T21:00:00-08:00 Los_Angeles,23.31600046157837kW
2022-01-07T22:00:00-08:00 Los_Angeles,14.606000185012817kW
2022-01-07T23:00:00-08:00 Los_Angeles,0kW
2022-01-08T00:00:00-08:00 Los_Angeles,0kW
2022-01-08T01:00:00-08:00 Los_Angeles,0kW
2022-01-08T02:00:00-08:00 Los_Angeles,0kW
2022-01-08T03:00:00-08:00 Los_Angeles,0kW
2022-01-08T04:00:00-08:00 Los_Angeles,0kW
2022-01-08T05:00:00-08:00 Los_Angeles,0kW
2022-01-08T06:00:00-08:00 Los_Angeles,0kW
2022-01-08T07:00:00-08:00 Los_Angeles,0kW
2022-01-08T08:00:00-08:00 Los_Angeles,0kW
2022-01-08T09:00:00-08:00 Los_Angeles,0kW
2022-01-08T10:00:00-08:00 Los_Angeles,0kW
2022-01-08T11:00:00-08:00 Los_Angeles,0kW
2022-01-08T12:00:00-08:00 Los_Angeles,0kW
2022-01-08T13:00:00-08:00 Los_Angeles,0kW
2022-01-08T14:00:00-08:00 Los_Angeles,0kW
2022-01-08T15:00:00-08:00 Los_Angeles,0kW
2022-01-08T16:00:00-08:00 Los_Angeles,0kW
2022-01-08T17:00:00-08:00 Los_Angeles,0kW
2022-01-08T18:00:00-08:00 Los_Angeles,0kW
2022-01-08T19:00:00-08:00 Los_Angeles,0kW
2022-01-08T20:00:00-08:00 Los_Angeles,0kW
2022-01-08T21:00:00-08:00 Los_Angeles,0kW
2022-01-08T22:00:00-08:00 Los_Angeles,0kW
2022-01-08T23:00:00-08:00 Los_Angeles,0kW
2022-01-09T00:00:00-08:00 Los_Angeles,0kW
2022-01-09T01:00:00-08:00 Los_Angeles,0kW
